model,domain,task,organization,authors,publication_date,reference,link,citations,notability_criteria,parameters,training_compute_(flop),training_dataset_size_(gradients),training_time_(hours),training_hardware,approach,confidence,epochs,model_accessibility,country,base_model,finetune_compute_(flop),hardware_quantity,last_modified,training_cloud_compute_vendor,batch_size,organization_categorization,foundation_model,training_chip-hours,training_code_accessibility,possibly_over_1e23_flop,training_compute_cost_(2023_usd),frontier_model,training_power_draw_(w),training_compute_estimation_method,year,era,notable_model,country_first,domain_group,export_controls_sum,publication_count
BlueLM 7B,Language,"Chat,Translation,Language modeling/generation,Question answering,Code generation",vivo AI lab,Unknown,2023-10-31,BlueLM: An Open Multilingual 7B Language Model,https://github.com/vivo-ai-lab/BlueLM/blob/main/BlueLM_technical_report.pdf,,,7000000000.0,1.0920000000001e+23,,,,,Confident,,Open weights (restricted use),China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,,Operation counting,2023,Deep learning era,False,China,Language,,29.3054023349738
Tongyi Qianwen 2.0,Language,"Chat,Language modeling/generation",Alibaba,Unknown,2023-10-31,Alibaba Cloud Launches Tongyi Qianwen 2.0 and Industry-specific Models to Support Customers Reap Benefits of Generative AI,https://www.alibabacloud.com/blog/alibaba-cloud-launches-tongyi-qianwen-2-0-and-industry-specific-models-to-support-customers-reap-benefits-of-generative-ai_600526,,,,,,,,,Unknown,,API access,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,True,,False,,,2023,Deep learning era,False,China,Language,,29.3054023349738
Mi:dm 200B,Language,Language modeling/generation,KT,Unknown,2023-10-31,,https://genielabs.ai/midm/about,,,200000000000.0,1.2e+24,1000000000000.0,,,,Confident,,API access,South Korea,,,,2025-08-01 16:23:12+00:00,,,Industry,False,,Unreleased,True,,False,,Operation counting,2023,Deep learning era,False,South Korea,Language,,
Skywork-13B,Language,"Language modeling,Language modeling/generation,Translation",Kunlun Inc.,"Tianwen Wei, Liang Zhao, Lichang Zhang, Bo Zhu, Lijie Wang, Haihua Yang, Biye Li, Cheng Cheng, Weiwei Lü, Rui Hu, Chenxia Li, Liu Yang, Xilin Luo, Xuejie Wu, Lunan Liu, Wenjun Cheng, Peng Cheng, Jianhao Zhang, Xiaoyu Zhang, Lei Lin, Xiaokun Wang, Yutuan Ma, Chuanhai Dong, Yanqi Sun, Yifu Chen, Yongyi Peng, Xiaojuan Liang, Shuicheng Yan, Han Fang, Yahui Zhou",2023-10-30,Skywork: A More Open Bilingual Foundation Model,https://arxiv.org/abs/2310.19341,111.0,SOTA improvement,13000000000.0,2.5e+23,3200000000000.0,940.0,NVIDIA A800 PCIe 40 GB,,Confident,1.0,Open weights (restricted use),China,,,512.0,2025-10-14 18:03:42+00:00,,16000000.0,Industry,False,,Open (restricted use),True,,False,253989.3377909499,Operation counting,2023,Deep learning era,True,China,Language,,29.3054023349738
ChatGLM3-6B,"Multimodal,Language,Vision","Chat,Visual question answering,Code generation",Zhipu AI,"Aohan Zeng, Bin Xu, Bowen Wang, Chenhui Zhang, Da Yin, Diego Rojas, Guanyu Feng, Hanlin Zhao, Hanyu Lai, Hao Yu, Hongning Wang, Jiadai Sun, Jiajie Zhang, Jiale Cheng, Jiayi Gui, Jie Tang, Jing Zhang, Juanzi Li, Lei Zhao, Lindong Wu, Lucen Zhong, Mingdao Liu, Minlie Huang, Peng Zhang, Qinkai Zheng, Rui Lu, Shuaiqi Duan, Shudan Zhang, Shulin Cao, Shuxun Yang, Weng Lam Tam, Wenyi Zhao, Xiao Liu, Xiao Xia, Xiaohan Zhang, Xiaotao Gu, Xin Lv, Xinghan Liu, Xinyi Liu, Xinyue Yang, Xixuan Song, Xunkai Zhang, Yifan An, Yifan Xu, Yilin Niu, Yuantao Yang, Yueyan Li, Yushi Bai, Yuxiao Dong, Zehan Qi, Zhaoyu Wang, Zhen Yang, Zhengxiao Du, Zhenyu Hou, Zihan Wang",2023-10-27,Zhipu AI launches third-generation base model,"https://www.zhipuai.cn/en/news/76

https://huggingface.co/zai-org/chatglm3-6b",,SOTA improvement,6000000000.0,5.04e+22,,,,,Speculative,,Open weights (restricted use),China,,,,2025-09-28 01:00:10+00:00,,,Industry,True,,Unreleased,False,,False,,Operation counting,2023,Deep learning era,True,China,Multimodal,,29.3054023349738
CODEFUSION (Python),Language,Code generation,"Microsoft,Microsoft Research","Mukul Singh, José Cambronero, Sumit Gulwani, Vu Le, Carina Negreanu, Gust Verbruggen",2023-10-26,CODEFUSION: A Pre-trained Diffusion Model for Code Generation,"https://arxiv.org/abs/2310.17680 (was withdrawn)

https://www.microsoft.com/en-us/research/wp-content/uploads/2023/11/CodeFusion-Revised-CameraReady.pdf",38.0,SOTA improvement,75000000.0,7.92e+18,4390400.0,11.0,NVIDIA V100,Self-supervised learning,Confident,,Unreleased,Multinational,,,4.0,2025-10-14 18:03:41+00:00,,,Industry,False,,Unreleased,False,8.542235671062665,False,2381.36215809478,Hardware,2023,Deep learning era,True,United States,Language,22.0,12.024618272999188
DiT-XL/2 + CADS,Image generation,Image generation,"ETH Zurich,Disney Research","Seyedmorteza Sadat, Jakob Buhmann, Derek Bradley, Otmar Hilliges, Romann M. Weber",2023-10-26,CADS: Unleashing the Diversity of Diffusion Models through Condition-Annealed Sampling,https://arxiv.org/abs/2310.17347v2,,SOTA improvement,675000000.0,,,,,,Likely,,Unreleased,Multinational,DiT-XL/2,,,2025-09-28 01:00:10+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,,,2023,Deep learning era,True,Switzerland,Vision,2.0,
QMoE: compressed SwitchTransformer,Language,Language modeling,"Institute of Science and Technology Austria (ISTA),Neural Magic","Elias Frantar, Dan Alistarh",2023-10-25,QMoE: Practical Sub-1-Bit Compression of Trillion-Parameter Models,https://arxiv.org/abs/2310.16795,37.0,,1571000000000.0,,576000000000.0,,NVIDIA RTX A6000,,Confident,,Open weights (unrestricted),Multinational,Switch,1.0033632e+18,,2025-10-14 18:03:40+00:00,,,"Academia, Industry",False,,Open source,False,,False,,,2023,Deep learning era,False,Austria,Language,6.0,
Xinghan Foundation Model,"Multimodal,Video,Language,Vision","Video description,Visual question answering,Language modeling/generation",Dahua Technology,Unknown,2023-10-25,Dahua Announces Think# 2.0 Strategy to Accelerate Innovation for a Digital Intelligent Future,https://www.prnewswire.com/news-releases/dahua-announces-think-2-0-strategy-to-accelerate-innovation-for-a-digital-intelligent-future-301967122.html,,,,,,,,,Unknown,,Unknown,China,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,,True,,False,,,2023,Deep learning era,False,China,Multimodal,,29.3054023349738
Zephyr 7B,Language,"Language modeling/generation,Question answering",Hugging Face,"Lewis Tunstall, Edward Beeching, Nathan Lambert, Nazneen Rajani, Kashif Rasul, Younes Belkada, Shengyi Huang, Leandro von Werra, Clémentine Fourrier, Nathan Habib, Nathan Sarrazin, Omar Sanseviero, Alexander M. Rush, Thomas Wolf",2023-10-25,Zephyr: Direct Distillation of LM Alignment,https://arxiv.org/abs/2310.16944,,,7000000000.0,,,4.0,NVIDIA A100,,Confident,3.0,Open weights (unrestricted),Multinational,Mistral 7B,2.156544e+19,16.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Open source,False,,False,12700.881013991002,Hardware,2023,Deep learning era,False,Multinational,Language,,
Spark 3.0,Language,"Code generation,Language generation,Language modeling/generation,Question answering",iFlytek,Unknown,2023-10-24,,https://www.gizmochina.com/2023/10/26/iflytek-spark-3-0-vs-openai-gpt/,,,,,1400000000000.0,,,,Likely,,Unknown,China,,,,2024-09-05 18:08:31+00:00,,,Industry,False,,,True,,False,,,2023,Deep learning era,False,China,Language,,29.3054023349738
Stockmark-13B,Language,Language modeling/generation,Stockmark,Unknown,2023-10-23, stockmark/stockmark-13b,https://huggingface.co/stockmark/stockmark-13b,,,13200000000.0,1.716e+22,220000000000.0,,,Self-supervised learning,Likely,,Open weights (unrestricted),Japan,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2023,Deep learning era,False,Japan,Language,,2.8384881327469653
CausalLM 14B,Language,"Language modeling/generation,Question answering",CausalLM,Unknown,2023-10-22,"TL;DR: Perhaps better than all existing models < 70B, in most quantitative evaluations...",https://huggingface.co/CausalLM/14B,,,14700000000.0,,,,,,Confident,,Open weights (restricted use),China,Qwen-14B,1.1466e+20,,2025-09-29 16:55:38+00:00,,,,False,,Unreleased,False,,False,,Operation counting,2023,Deep learning era,False,China,Language,,29.3054023349738
SILC-S* (86M),Vision,"Image classification,Image segmentation","ETH Zurich,DeepMind,Google,Technical University of Munich","Muhammad Ferjad Naeem, Yongqin Xian, Xiaohua Zhai, Lukas Hoyer, Luc Van Gool, Federico Tombari",2023-10-20,SILC: Improving Vision Language Pretraining with Self-Distillation,https://arxiv.org/abs/2310.13355,,,86000000.0,1.004e+22,,120.0,Google TPU v4,,Confident,,Unreleased,Multinational,,,256.0,2025-09-28 01:00:10+00:00,,16000.0,"Academia, Industry",False,,Unreleased,False,,False,86375.60801213082,,2023,Deep learning era,False,Switzerland,Vision,2.0,
SILC-S,Vision,"Image classification,Image segmentation","ETH Zurich,DeepMind,Google,Technical University of Munich","Muhammad Ferjad Naeem, Yongqin Xian, Xiaohua Zhai, Lukas Hoyer, Luc Van Gool, Federico Tombari",2023-10-20,SILC: Improving Vision Language Pretraining with Self-Distillation,https://arxiv.org/abs/2310.13355,,,86000000.0,,,,,,Likely,,Unreleased,Multinational,SILC-S* (86M),,,2025-09-28 01:00:10+00:00,,,"Academia, Industry",False,,Unreleased,False,,False,,,2023,Deep learning era,False,Switzerland,Vision,2.0,
DALL·E 3,Image generation,"Image generation,Text-to-image",OpenAI,"James Betker, Gabriel Goh, Li Jing, Tim Brooks, Jianfeng Wang, Linjie Li, Long Ouyang, Juntang Zhuang, Joyce Lee, Yufei Guo, Wesam Manassra, Prafulla Dhariwal, Casey Chu, Yunxin Jiao, Aditya Ramesh",2023-10-19,Improving Image Generation with Better Captions,https://cdn.openai.com/papers/dall-e-3.pdf,1309.0,SOTA improvement,,,,,,,Unknown,,API access,United States,,,,2025-10-16 13:08:52+00:00,,,Industry,True,,Unreleased,True,,False,,,2023,Deep learning era,True,United States,Vision,22.0,12.024618272999188
KwaiYiiMath,Language,"Quantitative reasoning,Chat",Kuaishou Technology,"Jiayi Fu, Lei Lin, Xiaoyang Gao, Pengli Liu, Zhengzong Chen, Zhirui Yang, Shengnan Zhang, Xue Zheng, Yan Li, Yuliang Liu, Xucheng Ye, Yiqiao Liao, Chao Liao, Bin Chen, Chengru Song, Junchen Wan, Zijia Lin, Fuzheng Zhang, Zhongyuan Wang, Di Zhang, Kun Gai",2023-10-19,KwaiYiiMath: Technical Report,https://arxiv.org/abs/2310.07488,,,13000000000.0,,,,,,Confident,,Unreleased,China,KwaiYii 13B,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Open source,False,,False,,,2023,Deep learning era,False,China,Language,,29.3054023349738
Voicebox / VB-En,Speech,"Speech synthesis,Text-to-speech (TTS)",Facebook AI Research,"Matthew Le, Apoorv Vyas, Bowen Shi, Brian Karrer, Leda Sari, Rashel Moritz, Mary Williamson, Vimal Manohar, Yossi Adi, Jay Mahadeokar, Wei-Ning Hsu",2023-10-19,Voicebox: Text-Guided Multilingual Universal Speech Generation at Scale,https://arxiv.org/abs/2306.15687,,,358000000.0,,,,,,Confident,,Unreleased,Multinational,,,32.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2023,Deep learning era,False,United States,Audio,22.0,12.024618272999188
ERNIE 4.0,"Multimodal,Language,Video,Image generation","Chat,Language modeling/generation,Video generation,Image generation",Baidu,Unknown,2023-10-17,"Baidu Launches ERNIE 4.0 Foundation Model, Leading a New Wave of AI-Native Applications",https://www.prnewswire.com/news-releases/baidu-launches-ernie-4-0-foundation-model-leading-a-new-wave-of-ai-native-applications-301958681.html,,Significant use,,,,,,,Unknown,,API access,China,,,,2025-09-28 01:00:10+00:00,,,Industry,True,,Unreleased,True,,False,,,2023,Deep learning era,True,China,Multimodal,,29.3054023349738
Fuyu-8B,"Multimodal,Language,Vision","Chat,Image classification,Visual question answering,Image captioning",Adept,"Rohan Bavishi, Erich Elsen, Curtis Hawthorne, Maxwell Nye, Augustus Odena, Arushi Somani, Sağnak Taşırlar",2023-10-17,Fuyu-8B: A Multimodal Architecture for AI Agents,"https://www.adept.ai/blog/fuyu-8b, www.huggingface.co/adept/fuyu-8b",,,8000000000.0,,,,,,Confident,,Open weights (non-commercial),United States,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,True,,False,,,2023,Deep learning era,False,United States,Multimodal,22.0,12.024618272999188
PaLI-3,"Multimodal,Language,Vision","Visual question answering,Character recognition (OCR),Image captioning","Google DeepMind,Google Research,Google Cloud","Xi Chen, Xiao Wang, Lucas Beyer, Alexander Kolesnikov, Jialin Wu, Paul Voigtlaender, Basil Mustafa, Sebastian Goodman, Ibrahim Alabdulmohsin, Piotr Padlewski, Daniel Salz, Xi Xiong, Daniel Vlasic, Filip Pavetic, Keran Rong, Tianli Yu, Daniel Keysers, Xiaohua Zhai, Radu Soricut",2023-10-17,"PaLI-3 Vision Language Models: Smaller, Faster, Stronger",https://arxiv.org/abs/2310.09199,,SOTA improvement,5000000000.0,,,,,,Confident,,Unreleased,Multinational,UL2,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,,2023,Deep learning era,True,United States,Multimodal,22.0,12.024618272999188
Llemma 34B,"Mathematics,Language","Mathematical reasoning,Language modeling/generation,Question answering,Code generation","Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI","Zhangir Azerbayev, Hailey Schoelkopf, Keiran Paster, Marco Dos Santos, Stephen McAleer, Albert Q. Jiang, Jia Deng, Stella Biderman, Sean Welleck",2023-10-16,Llemma: An Open Language Model For Mathematics,https://arxiv.org/abs/2310.10631,344.0,,34000000000.0,5.4270979e+23,55000000000.0,,NVIDIA A100 SXM4 40 GB,,Confident,0.9,Open weights (restricted use),Multinational,Code Llama-34B,1.2709785e+22,256.0,2025-10-16 13:08:52+00:00,,4000000.0,Academia,False,47000.0,Unreleased,False,,False,203254.8293570902,"Operation counting,Hardware",2023,Deep learning era,False,United States,Multimodal,22.0,12.024618272999188
Llemma 7B,"Mathematics,Language","Mathematical reasoning,Language modeling/generation,Question answering,Code generation","Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington","Zhangir Azerbayev, Hailey Schoelkopf, Keiran Paster, Marco Dos Santos, Stephen McAleer, Albert Q. Jiang, Jia Deng, Stella Biderman, Sean Welleck",2023-10-16,Llemma: An Open Language Model For Mathematics,https://arxiv.org/abs/2310.10631,344.0,,7000000000.0,1.180685e+23,55000000000.0,,NVIDIA A100 SXM4 40 GB,,Confident,3.64,Open weights (restricted use),Multinational,Code Llama-7B,8.0684987e+21,256.0,2025-10-16 13:08:52+00:00,,4000000.0,Academia,False,23000.0,Unreleased,False,,False,203254.8293570902,"Operation counting,Hardware",2023,Deep learning era,False,United States,Multimodal,22.0,12.024618272999188
Aquila2 34B,Language,"Chat,Language modeling/generation",Beijing Academy of Artificial Intelligence / BAAI,Unknown,2023-10-13,Aquila2 Technical Report,"https://github.com/FlagAI-Open/Aquila2
https://huggingface.co/BAAI/Aquila2-34B",,,34000000000.0,,2000000000000.0,,NVIDIA A100 SXM4 40 GB,,Likely,,Open weights (unrestricted),China,,,512.0,2025-09-28 01:00:10+00:00,,,Academia,False,,Open source,True,,False,406536.8177649435,,2023,Deep learning era,False,China,Language,,29.3054023349738
Table-GPT,Language,"Language modeling/generation,Table tasks",Microsoft Research,"Peng Li, Yeye He, Dror Yashar, Weiwei Cui, Song Ge, Haidong Zhang, Danielle Rifinski Fainman, Dongmei Zhang, Surajit Chaudhuri",2023-10-13,Table-GPT: Table-tuned GPT for Diverse Table Tasks,https://arxiv.org/abs/2310.09263,97.0,,175000000000.0,,,,,,Confident,,Unreleased,Multinational,GPT-3.5,,,2025-10-16 13:08:52+00:00,,,Industry,False,,Unreleased,False,,False,,,2023,Deep learning era,False,United States,Language,22.0,12.024618272999188
RT-2-X,Robotics,Robotic manipulation,Google DeepMind,Open X-Embodiment Collaboration,2023-10-13,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,https://arxiv.org/abs/2310.08864,664.0,SOTA improvement,55000000000.0,,,,,,Confident,,Unreleased,Multinational,RT-2,,,2025-10-14 18:03:40+00:00,,,Industry,False,,Unreleased,False,,False,,,2023,Deep learning era,True,United States,Robotics,22.0,12.024618272999188
Jiutian,Language,Language modeling/generation,China Mobile,Unknown,2023-10-12,,https://www.globaltimes.cn/page/202310/1299716.shtml,,,13900000000.0,1.668e+23,2000000000000.0,,,,Likely,,Open weights (unrestricted),China,,,,2025-08-01 16:23:12+00:00,,,Industry,False,,Unreleased,True,,False,,Operation counting,2023,Deep learning era,False,China,Language,,29.3054023349738
Ferret (13B),"Multimodal,Language,Vision","Object recognition,Language modeling","Columbia University,Apple","Haoxuan You, Haotian Zhang, Zhe Gan, Xianzhi Du, Bowen Zhang, Zirui Wang, Liangliang Cao, Shih-Fu Chang, Yinfei Yang",2023-10-11,Ferret: Refer and Ground Anything Anywhere at Any Granularity,https://arxiv.org/abs/2310.07704,400.0,SOTA improvement,13000000000.0,,172649572.0,120.0,NVIDIA A100,,Confident,3.0,Open weights (non-commercial),United States,Vicuna-13B v0,4.04e+19,8.0,2025-10-16 13:08:52+00:00,,,"Academia, Industry",False,960.0,Open (non-commercial),False,,False,6352.420700106825,,2023,Deep learning era,True,United States,Multimodal,22.0,12.024618272999188
Mistral 7B,Language,"Code generation,Language generation,Language modeling/generation,Question answering",Mistral AI,"Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford, Devendra Singh Chaplot, Diego de las Casas, Florian Bressand, Gianna Lengyel, Guillaume Lample, Lucile Saulnier, Lélio Renard Lavaud, Marie-Anne Lachaux, Pierre Stock, Teven Le Scao, Thibaut Lavril, Thomas Wang, Timothée Lacroix, William El Sayed",2023-10-10,Mistral 7B,https://arxiv.org/abs/2310.06825,2594.0,,7000000000.0,,,,,,Confident,,Open weights (unrestricted),France,,,,2025-10-16 13:08:52+00:00,,,Industry,False,,Unreleased,True,,False,,,2023,Deep learning era,False,France,Language,6.0,2.320372806963785
CodeFuse-13B,Language,Code generation,Ant Group,"Peng Di, Jianguo Li, Hang Yu, Wei Jiang, Wenting Cai, Yang Cao, Chaoyu Chen, Dajun Chen, Hongwei Chen, Liang Chen, Gang Fan, Jie Gong, Zi Gong, Wen Hu, Tingting Guo, Zhichao Lei, Ting Li, Zheng Li, Ming Liang, Cong Liao, Bingchang Liu, Jiachen Liu, Zhiwei Liu, Shaojun Lu, Min Shen, Guangpei Wang, Huan Wang, Zhi Wang, Zhaogui Xu, Jiawei Yang, Qing Ye, Gehao Zhang, Yu Zhang, Zelin Zhao, Xunjin Zheng, Hailian Zhou, Lifu Zhu, Xianying Zhu",2023-10-10,CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model,https://arxiv.org/abs/2310.06266,22.0,,13000000000.0,3.09e+23,1000000000000.0,960.0,NVIDIA A100 SXM4 80 GB,,Confident,,Open weights (unrestricted),China,,,512.0,2025-10-14 18:03:40+00:00,,16777216.0,Industry,False,,Unreleased,True,,False,406563.97863021225,Hardware,2023,Deep learning era,False,China,Language,,29.3054023349738
CELLE-2,Biology,"Protein localization prediction,Text-to-image","Chan Zuckerberg Initiative,University of California San Francisco,University of California (UC) Berkeley","Emaad Khwaja, Yun Song, Aaron Agarunov, Bo Huang",2023-10-10,CELL-E 2: Translating Proteins to Pictures and Back with a Bidirectional Text-to-Image Transformer,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0fb7c02d420c993385c7de44c2b5bf01-Abstract-Conference.html,3.0,,,,4327372.0,,,,Likely,,Open weights (unrestricted),United States,,,,2025-10-14 21:50:25+00:00,,,Academia,False,,Open source,False,,False,,,2023,Deep learning era,False,United States,Biology,22.0,12.024618272999188
RoseTTAFold All-Atom (RFAA),Biology,"Protein folding prediction,Proteins","University of Washington,Seoul National University,University of Sheffield","Rohith Krishna, Jue Wang, Woody Ahern, Pascal Sturmfels, Preetham Venkatesh, Indrek Kalvet, Gyu Rie Lee, Felix S Morey-Burrows, Ivan Anishchenko, Ian R Humphreys, Ryan McHugh, Dionne Vafeados, Xinting Li, George A Sutherland, Andrew Hitchcock, C Neil Hunter, Minkyung Baek, Frank DiMaio, David Baker",2023-10-09,Generalized Biomolecular Modeling and Design with RoseTTAFold All-Atom,https://www.biorxiv.org/content/10.1101/2023.10.09.561603v1,,SOTA improvement,,2.14e+20,63240960.0,,NVIDIA RTX A6000,,Confident,,Open weights (unrestricted),Multinational,,,,2025-09-28 01:00:10+00:00,,,Academia,False,,Open source,False,,False,,Hardware,2023,Deep learning era,True,United States,Biology,22.0,12.024618272999188
FinGPT-13B,Language,"Named entity recognition (NER),Sentiment classification,Language modeling/generation,Financial management","University of California Los Angeles (UCLA),Columbia University,New York University (NYU)","Neng Wang, Hongyang Yang, Christina Dan Wang",2023-10-07,FinGPT: Instruction Tuning Benchmark for Open-Source Large Language Models in Financial Datasets,https://arxiv.org/abs/2310.04793; https://github.com/AI4Finance-Foundation/FinGPT,69.0,SOTA improvement,13000000000.0,1.6e+23,76800.0,17.25,NVIDIA GeForce RTX 3090,Supervised,Likely,,Open weights (unrestricted),United States,Llama 2-13B,6.532488e+17,1.0,2025-10-14 18:03:42+00:00,,,Academia,False,,Open source,True,,False,381.7900590727425,Hardware,2023,Deep learning era,True,United States,Language,22.0,12.024618272999188
NAEPro,Biology,Protein design,"University of California Santa Barbara (UCSB),Massachusetts Institute of Technology (MIT),Carnegie Mellon University (CMU)","Zhenqiao Song, Yunlong Zhao, Wenxian Shi, Yang Yang, Lei Li",2023-10-06,Functional Geometry Guided Protein Sequence and Backbone Structure Co-Design,https://arxiv.org/abs/2310.04343,,,,,,,NVIDIA RTX A6000,,Confident,100.0,Unknown,United States,,,1.0,2025-09-28 01:00:10+00:00,,,Academia,False,,,False,,False,327.2559097645607,Hardware,2023,Deep learning era,False,United States,Biology,22.0,12.024618272999188
FoldFlow,Biology,Protein generation,"McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Dreamfold,University of Montreal / Université de Montréal,University of Oxford","Avishek Joey Bose, Tara Akhound-Sadegh, Guillaume Huguet, Kilian Fatras, Jarrid Rector-Brooks, Cheng-Hao Liu, Andrei Cristian Nica, Maksym Korablyov, Michael Bronstein, Alexander Tong",2023-10-03,SE(3) Stochastic Flow Matching for Protein Backbone Generation,https://arxiv.org/abs/2310.02391,112.0,,,1.1000000000000008e+20,40046400.0,60.0,NVIDIA A100,,Confident,,Unknown,Multinational,,,4.0,2025-10-14 18:03:40+00:00,,,"Academia, Industry",False,,,False,,False,3176.776258121856,Hardware,2023,Deep learning era,False,Canada,Biology,,1.806773006655853
LLaMA-7B (protein-oriented instruction-tuned),"Language,Biology","Protein folding prediction,Protein generation,Other Biological Modeling,Protein or nucleotide language model (pLM/nLM),Protein question answering",Zhejiang University (ZJU),"Yin Fang, Xiaozhuan Liang, Ningyu Zhang, Kangwei Liu, Rui Huang, Zhuo Chen, Xiaohui Fan, Huajun Chen",2023-10-02,Mol-Instructions: A Large-Scale Biomolecular Instruction Dataset for Large Language Models,https://arxiv.org/abs/2306.08018,108.0,,7000000000.0,2.78e+22,5068266667.0,,,,Confident,,Open weights (unrestricted),China,LLaMA-7B,,,2025-10-14 18:03:41+00:00,,,Academia,False,,Unreleased,False,,False,,"Hardware,Operation counting",2023,Deep learning era,False,China,Multimodal,,29.3054023349738
MiniGPT4 (Vicuna finetune),"Language,Vision,Multimodal","Language modeling/generation,Chat,Visual question answering,Image captioning",King Abdullah University of Science and Technology (KAUST),"Deyao Zhu, Jun Chen, Xiaoqian Shen, Xiang Li, Mohamed Elhoseiny",2023-10-02,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced Large Language Models,https://arxiv.org/abs/2304.10592,,,13000000000.0,,1430000000.0,10.0,NVIDIA A100,,Confident,,Open weights (unrestricted),Saudi Arabia,Vicuna-13B v0,1.34784e+19,4.0,2025-09-28 01:00:10+00:00,,,Academia,False,,Open source,False,,False,3176.847003719534,Hardware,2023,Deep learning era,False,Saudi Arabia,Multimodal,,
Phi-1,Language,"Language modeling/generation,Code generation",Microsoft Research,"Suriya Gunasekar, Yi Zhang, Jyoti Aneja, Caio César Teodoro Mendes, Allie Del Giorno, Sivakanth Gopi, Mojan Javaheripi, Piero Kauffmann, Gustavo de Rosa, Olli Saarikivi, Adil Salim, Shital Shah, Harkirat Singh Behl, Xin Wang, Sébastien Bubeck, Ronen Eldan, Adam Tauman Kalai, Yin Tat Lee, Yuanzhi Li",2023-10-02,Textbooks Are All You Need,https://arxiv.org/abs/2306.11644,,,1300000000.0,3.3234195e+20,,103.0,NVIDIA A100,,Confident,7.3,Open weights (unrestricted),Multinational,,,8.0,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,6353.694007439068,"Operation counting,Hardware",2023,Deep learning era,False,United States,Language,22.0,12.024618272999188
CTM (CIFAR-10),Image generation,"Image generation,Text-to-image","Stanford University,Sony","Dongjun Kim, Chieh-Hsin Lai, Wei-Hsiang Liao, Naoki Murata, Yuhta Takida, Toshimitsu Uesaka, Yutong He, Yuki Mitsufuji, Stefano Ermon",2023-10-01,Consistency Trajectory Models: Learning Probability Flow ODE Trajectory of Diffusion,https://arxiv.org/abs/2310.02279v1,249.0,SOTA improvement,,,,,NVIDIA V100,,Unknown,1.7,Open weights (unrestricted),Multinational,,,4.0,2025-10-16 13:08:52+00:00,,128.0,"Academia, Industry",False,,Open source,False,,False,2382.6883131695167,,2023,Deep learning era,True,United States,Vision,22.0,12.024618272999188
TinyLlama-1.1B (1T token checkpoint),Language,"Chat,Language modeling/generation,Translation,Question answering",Singapore University of Technology & Design,"Peiyuan Zhang, Guangtao Zeng, Tianduo Wang, Wei Lu",2023-10-01,TinyLlama: An Open-Source Small Language Model,https://arxiv.org/abs/2401.02385,490.0,,1100000000.0,7.24598784e+21,1000000000000.0,720.0,NVIDIA A100 SXM4 40 GB,Self-supervised learning,Confident,,Open weights (unrestricted),Singapore,,,16.0,2025-10-16 13:08:52+00:00,,2000000.0,Academia,False,11520.0,Open source,False,,False,12707.671003570757,"Hardware,Operation counting",2023,Deep learning era,False,Singapore,Language,,
TinyLlama-1.1B (3T token checkpoint),Language,"Chat,Language modeling/generation,Translation,Question answering",Singapore University of Technology & Design,"Peiyuan Zhang, Guangtao Zeng, Tianduo Wang, Wei Lu",2023-10-01,TinyLlama: An Open-Source Small Language Model,https://arxiv.org/abs/2401.02385,490.0,,1100000000.0,2.173796352e+22,,2160.0,NVIDIA A100 SXM4 40 GB,Self-supervised learning,Confident,3.0,Open weights (unrestricted),Singapore,,,16.0,2025-10-16 13:08:52+00:00,,2000000.0,Academia,False,34560.0,Open source,False,,False,12707.671003570757,"Hardware,Operation counting",2023,Deep learning era,False,Singapore,Language,,
BITTERS,Vision,Image captioning,"LG,Shutterstock","Taehoon Kim, Mark Marsden, Pyunghwan Ahn, Sangyun Kim, Sihaeng Lee, Alessandra Sala, Seung Hwan Kim",2023-10-01,Large-Scale Bidirectional Training for Zero-Shot Image Captioning,https://arxiv.org/abs/2211.06774,,,650000000.0,7.8015e+17,108800000000.0,,,,Likely,,Unreleased,Multinational,,,,2025-09-28 01:00:10+00:00,,,Industry,False,,Unreleased,False,,False,,Operation counting,2023,Deep learning era,False,South Korea,Vision,,
